Name             Damage       Hits   Time(s)    DPS     DPM

Olfir          1476261       244   1253.44      1177     70665

Heroic           84766        72   1253.44        67      4057

Seeker         1761271       210   1253.44      1405     84308

Thok           8008361      1575   1253.44      6389    383343 camping rod + dodd

Keeper           29325        31   1253.44        23      1403

Winterpine       58090        76   1253.44        46      2780

Seeker        10215666      1375   1091.26      9361    561677

Thok           9047957      1314   1091.26      8291    497474 camping venom + rod

Keeper          529639       502   1091.26       485     29120

Olfir         10643786      1148   1091.26      9753    585216

Heroic          566702       476   1091.26       519     31158

Thok           7295738      1055    1124.4      6488    389310 disregard, dc'd and kept running

Olfir          7731936       807    1124.4      6876    412587

Heroic          427789       361    1124.4       380     22827

Seeker         8148913      1051    1124.4      7247    434837

Keeper          179028       191    1124.4       159      9553

Thok            332416        49      46.9      7087    425238

Warmaster        21416        17      46.9       456     27396

Keeper            7733         5      46.9       164      9892

Thok           8572552      1239   1095.03      7828    469713

Olfir           207607       114   1095.03       189     11375

Keeper           53069        65   1095.03        48      2907

